filename,label,sequence_length,font
000000_oGAFz.png,oGAFz,5,arial.ttf
000001_Q12gk.png,Q12gk,5,arial.ttf
000002_Ti9V2.png,Ti9V2,5,arial.ttf
000003_g9soP.png,g9soP,5,arial.ttf
000004_sbhge.png,sbhge,5,arial.ttf
000005_sBz1M.png,sBz1M,5,arial.ttf
000006_4ubvr.png,4ubvr,5,arial.ttf
000007_RwUUE.png,RwUUE,5,arial.ttf
000008_VWl59.png,VWl59,5,arial.ttf
000009_YIFA3.png,YIFA3,5,arial.ttf
000010_Tz5lD.png,Tz5lD,5,arial.ttf
000011_IjQgf.png,IjQgf,5,arial.ttf
000012_TelMc.png,TelMc,5,arial.ttf
000013_0qGjf.png,0qGjf,5,arial.ttf
000014_Vb3mY.png,Vb3mY,5,arial.ttf
000015_jJxIm.png,jJxIm,5,arial.ttf
000016_WAmfU.png,WAmfU,5,arial.ttf
000017_2CvbP.png,2CvbP,5,arial.ttf
000018_ocGVZ.png,ocGVZ,5,arial.ttf
000019_ZiqE3.png,ZiqE3,5,arial.ttf
000020_rGfGY.png,rGfGY,5,arial.ttf
000021_r9vjS.png,r9vjS,5,arial.ttf
000022_pelrH.png,pelrH,5,arial.ttf
000023_oyghZ.png,oyghZ,5,arial.ttf
000024_GHSEq.png,GHSEq,5,arial.ttf
000025_tKx7U.png,tKx7U,5,arial.ttf
000026_nS5WN.png,nS5WN,5,arial.ttf
000027_LVLm2.png,LVLm2,5,arial.ttf
000028_3eAFe.png,3eAFe,5,arial.ttf
000029_Pf5PQ.png,Pf5PQ,5,arial.ttf
000030_RsRz4.png,RsRz4,5,arial.ttf
000031_4A0h5.png,4A0h5,5,arial.ttf
000032_eu8aI.png,eu8aI,5,arial.ttf
000033_8Mlby.png,8Mlby,5,arial.ttf
000034_lXxik.png,lXxik,5,arial.ttf
000035_7M3WJ.png,7M3WJ,5,arial.ttf
000036_Fpji2.png,Fpji2,5,arial.ttf
000037_UaSdZ.png,UaSdZ,5,arial.ttf
000038_5goUF.png,5goUF,5,arial.ttf
000039_fC83W.png,fC83W,5,arial.ttf
000040_oEShk.png,oEShk,5,arial.ttf
000041_xCIX8.png,xCIX8,5,arial.ttf
000042_qAei6.png,qAei6,5,arial.ttf
000043_cpluO.png,cpluO,5,arial.ttf
000044_1hBhE.png,1hBhE,5,arial.ttf
000045_h21dI.png,h21dI,5,arial.ttf
000046_x6qzt.png,x6qzt,5,arial.ttf
000047_mww6W.png,mww6W,5,arial.ttf
000048_34dyX.png,34dyX,5,arial.ttf
000049_inKvo.png,inKvo,5,arial.ttf
000050_LX9Vr.png,LX9Vr,5,arial.ttf
000051_GmtCR.png,GmtCR,5,arial.ttf
000052_hP7ms.png,hP7ms,5,arial.ttf
000053_g0CN7.png,g0CN7,5,arial.ttf
000054_rJLtB.png,rJLtB,5,arial.ttf
000055_q41tR.png,q41tR,5,arial.ttf
000056_Uisyr.png,Uisyr,5,arial.ttf
000057_8KYWk.png,8KYWk,5,arial.ttf
000058_oe4vh.png,oe4vh,5,arial.ttf
000059_Ez8Sj.png,Ez8Sj,5,arial.ttf
000060_rJdCY.png,rJdCY,5,arial.ttf
000061_UjmSO.png,UjmSO,5,arial.ttf
000062_0N6D8.png,0N6D8,5,arial.ttf
000063_GQv1q.png,GQv1q,5,arial.ttf
000064_ozjAz.png,ozjAz,5,arial.ttf
000065_GUkgN.png,GUkgN,5,arial.ttf
000066_4Blz5.png,4Blz5,5,arial.ttf
000067_Lsw8J.png,Lsw8J,5,arial.ttf
000068_elJ70.png,elJ70,5,arial.ttf
000069_jEigU.png,jEigU,5,arial.ttf
000070_zKc5A.png,zKc5A,5,arial.ttf
000071_ptU3R.png,ptU3R,5,arial.ttf
000072_U6spI.png,U6spI,5,arial.ttf
000073_NAErf.png,NAErf,5,arial.ttf
000074_C6X8U.png,C6X8U,5,arial.ttf
000075_diZNL.png,diZNL,5,arial.ttf
000076_aArQW.png,aArQW,5,arial.ttf
000077_tmCyA.png,tmCyA,5,arial.ttf
000078_2QsQp.png,2QsQp,5,arial.ttf
000079_qjRFB.png,qjRFB,5,arial.ttf
000080_DAoot.png,DAoot,5,arial.ttf
000081_ZVbE7.png,ZVbE7,5,arial.ttf
000082_oIGL6.png,oIGL6,5,arial.ttf
000083_z9kBB.png,z9kBB,5,arial.ttf
000084_Aej0l.png,Aej0l,5,arial.ttf
000085_uecRR.png,uecRR,5,arial.ttf
000086_zr38i.png,zr38i,5,arial.ttf
000087_Vu37C.png,Vu37C,5,arial.ttf
000088_tqkNE.png,tqkNE,5,arial.ttf
000089_lfqFS.png,lfqFS,5,arial.ttf
000090_TrmMu.png,TrmMu,5,arial.ttf
000091_Twdrq.png,Twdrq,5,arial.ttf
000092_AFLlw.png,AFLlw,5,arial.ttf
000093_8TLt0.png,8TLt0,5,arial.ttf
000094_5lizu.png,5lizu,5,arial.ttf
000095_440sK.png,440sK,5,arial.ttf
000096_M7cxH.png,M7cxH,5,arial.ttf
000097_uEdgS.png,uEdgS,5,arial.ttf
000098_IrE0s.png,IrE0s,5,arial.ttf
000099_ukxaD.png,ukxaD,5,arial.ttf
000100_rJNVW.png,rJNVW,5,arial.ttf
000101_KfARS.png,KfARS,5,arial.ttf
000102_vwX1D.png,vwX1D,5,arial.ttf
000103_cqvPz.png,cqvPz,5,arial.ttf
000104_pUpGJ.png,pUpGJ,5,arial.ttf
000105_32v7k.png,32v7k,5,arial.ttf
000106_tG9rq.png,tG9rq,5,arial.ttf
000107_DTtGK.png,DTtGK,5,arial.ttf
000108_ZSC7F.png,ZSC7F,5,arial.ttf
000109_1jMvN.png,1jMvN,5,arial.ttf
000110_O8f2e.png,O8f2e,5,arial.ttf
000111_jYNkR.png,jYNkR,5,arial.ttf
000112_ss7aZ.png,ss7aZ,5,arial.ttf
000113_Pj2va.png,Pj2va,5,arial.ttf
000114_4sI34.png,4sI34,5,arial.ttf
000115_NiFUN.png,NiFUN,5,arial.ttf
000116_x81iY.png,x81iY,5,arial.ttf
000117_xTtqk.png,xTtqk,5,arial.ttf
000118_nsN9N.png,nsN9N,5,arial.ttf
000119_XQXG8.png,XQXG8,5,arial.ttf
000120_ygBwE.png,ygBwE,5,arial.ttf
000121_Jrv7o.png,Jrv7o,5,arial.ttf
000122_hpoZL.png,hpoZL,5,arial.ttf
000123_MZYPM.png,MZYPM,5,arial.ttf
000124_79Iqf.png,79Iqf,5,arial.ttf
000125_Pr7i2.png,Pr7i2,5,arial.ttf
000126_XkP5P.png,XkP5P,5,arial.ttf
000127_gvhNG.png,gvhNG,5,arial.ttf
000128_dKVjq.png,dKVjq,5,arial.ttf
000129_OaCW1.png,OaCW1,5,arial.ttf
000130_npfkn.png,npfkn,5,arial.ttf
000131_OpLwi.png,OpLwi,5,arial.ttf
000132_lXgCB.png,lXgCB,5,arial.ttf
000133_PvlDt.png,PvlDt,5,arial.ttf
000134_4DvUh.png,4DvUh,5,arial.ttf
000135_b7I6M.png,b7I6M,5,arial.ttf
000136_9M29O.png,9M29O,5,arial.ttf
000137_EWEeo.png,EWEeo,5,arial.ttf
000138_rqKOq.png,rqKOq,5,arial.ttf
000139_f1Ml9.png,f1Ml9,5,arial.ttf
000140_r6xyy.png,r6xyy,5,arial.ttf
000141_5EJq5.png,5EJq5,5,arial.ttf
000142_qicVz.png,qicVz,5,arial.ttf
000143_I4jJf.png,I4jJf,5,arial.ttf
000144_r8y3a.png,r8y3a,5,arial.ttf
000145_40qjh.png,40qjh,5,arial.ttf
000146_QY6BX.png,QY6BX,5,arial.ttf
000147_4qmhq.png,4qmhq,5,arial.ttf
000148_FRYLr.png,FRYLr,5,arial.ttf
000149_QAFgb.png,QAFgb,5,arial.ttf
000150_M2Wh5.png,M2Wh5,5,arial.ttf
000151_Awozp.png,Awozp,5,arial.ttf
000152_fJkou.png,fJkou,5,arial.ttf
000153_7I5KK.png,7I5KK,5,arial.ttf
000154_aipmN.png,aipmN,5,arial.ttf
000155_ju0XV.png,ju0XV,5,arial.ttf
000156_Ukgw3.png,Ukgw3,5,arial.ttf
000157_6KExl.png,6KExl,5,arial.ttf
000158_wCOXV.png,wCOXV,5,arial.ttf
000159_13EPa.png,13EPa,5,arial.ttf
000160_vtp6k.png,vtp6k,5,arial.ttf
000161_fITtE.png,fITtE,5,arial.ttf
000162_P5ylo.png,P5ylo,5,arial.ttf
000163_piw8u.png,piw8u,5,arial.ttf
000164_ST7fN.png,ST7fN,5,arial.ttf
000165_Essn3.png,Essn3,5,arial.ttf
000166_6dtP1.png,6dtP1,5,arial.ttf
000167_6JGmI.png,6JGmI,5,arial.ttf
000168_ogXYT.png,ogXYT,5,arial.ttf
000169_a2lvZ.png,a2lvZ,5,arial.ttf
000170_Xzj3J.png,Xzj3J,5,arial.ttf
000171_aacis.png,aacis,5,arial.ttf
000172_R3Tse.png,R3Tse,5,arial.ttf
000173_WVmOd.png,WVmOd,5,arial.ttf
000174_b0BH9.png,b0BH9,5,arial.ttf
000175_C8pYc.png,C8pYc,5,arial.ttf
000176_ATFR1.png,ATFR1,5,arial.ttf
000177_fArm1.png,fArm1,5,arial.ttf
000178_isbFJ.png,isbFJ,5,arial.ttf
000179_npFMw.png,npFMw,5,arial.ttf
000180_las3Z.png,las3Z,5,arial.ttf
000181_y3fZy.png,y3fZy,5,arial.ttf
000182_qNA0R.png,qNA0R,5,arial.ttf
000183_uljQA.png,uljQA,5,arial.ttf
000184_L6HqM.png,L6HqM,5,arial.ttf
000185_LUMTh.png,LUMTh,5,arial.ttf
000186_5yyGD.png,5yyGD,5,arial.ttf
000187_jiqE8.png,jiqE8,5,arial.ttf
000188_DwyYn.png,DwyYn,5,arial.ttf
000189_gr2DT.png,gr2DT,5,arial.ttf
000190_P12TZ.png,P12TZ,5,arial.ttf
000191_8wjSI.png,8wjSI,5,arial.ttf
000192_mI4md.png,mI4md,5,arial.ttf
000193_c0xlN.png,c0xlN,5,arial.ttf
000194_VuFSa.png,VuFSa,5,arial.ttf
000195_obdd3.png,obdd3,5,arial.ttf
000196_CKKRl.png,CKKRl,5,arial.ttf
000197_rqmuI.png,rqmuI,5,arial.ttf
000198_30oYm.png,30oYm,5,arial.ttf
000199_EgR1n.png,EgR1n,5,arial.ttf
000200_Elkvs.png,Elkvs,5,arial.ttf
000201_1Gvde.png,1Gvde,5,arial.ttf
000202_t01qi.png,t01qi,5,arial.ttf
000203_bKPWn.png,bKPWn,5,arial.ttf
000204_ZJRuv.png,ZJRuv,5,arial.ttf
000205_hMBfi.png,hMBfi,5,arial.ttf
000206_4hEGz.png,4hEGz,5,arial.ttf
000207_0WPnk.png,0WPnk,5,arial.ttf
000208_uE9N8.png,uE9N8,5,arial.ttf
000209_lKAFz.png,lKAFz,5,arial.ttf
000210_8M7jE.png,8M7jE,5,arial.ttf
000211_csPdX.png,csPdX,5,arial.ttf
000212_S0aZj.png,S0aZj,5,arial.ttf
000213_t6lF8.png,t6lF8,5,arial.ttf
000214_XBk4Q.png,XBk4Q,5,arial.ttf
000215_BQibw.png,BQibw,5,arial.ttf
000216_Lht6Y.png,Lht6Y,5,arial.ttf
000217_LFCdV.png,LFCdV,5,arial.ttf
000218_G6SCP.png,G6SCP,5,arial.ttf
000219_WLriL.png,WLriL,5,arial.ttf
000220_QvGxf.png,QvGxf,5,arial.ttf
000221_HYHGl.png,HYHGl,5,arial.ttf
000222_lPdF9.png,lPdF9,5,arial.ttf
000223_WlCO7.png,WlCO7,5,arial.ttf
000224_C0qNZ.png,C0qNZ,5,arial.ttf
000225_pJ7fu.png,pJ7fu,5,arial.ttf
