image_id,source_path,output_path,label,distortion_level,distortion_name,seed,status
000000_oGAFz,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000000_oGAFz.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000000_oGAFz.png,oGAFz,1,mild,1000042,created
000001_Q12gk,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000001_Q12gk.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000001_Q12gk.png,Q12gk,1,mild,1000043,created
000002_Ti9V2,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000002_Ti9V2.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000002_Ti9V2.png,Ti9V2,1,mild,1000044,created
000003_g9soP,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000003_g9soP.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000003_g9soP.png,g9soP,1,mild,1000045,created
000004_sbhge,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000004_sbhge.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000004_sbhge.png,sbhge,1,mild,1000046,created
000005_sBz1M,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000005_sBz1M.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000005_sBz1M.png,sBz1M,1,mild,1000047,created
000006_4ubvr,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000006_4ubvr.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000006_4ubvr.png,4ubvr,1,mild,1000048,created
000007_RwUUE,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000007_RwUUE.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000007_RwUUE.png,RwUUE,1,mild,1000049,created
000008_VWl59,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000008_VWl59.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000008_VWl59.png,VWl59,1,mild,1000050,created
000009_YIFA3,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000009_YIFA3.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000009_YIFA3.png,YIFA3,1,mild,1000051,created
000010_Tz5lD,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000010_Tz5lD.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000010_Tz5lD.png,Tz5lD,1,mild,1000052,created
000011_IjQgf,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000011_IjQgf.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000011_IjQgf.png,IjQgf,1,mild,1000053,created
000012_TelMc,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000012_TelMc.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000012_TelMc.png,TelMc,1,mild,1000054,created
000013_0qGjf,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000013_0qGjf.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000013_0qGjf.png,0qGjf,1,mild,1000055,created
000014_Vb3mY,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000014_Vb3mY.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000014_Vb3mY.png,Vb3mY,1,mild,1000056,created
000015_jJxIm,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000015_jJxIm.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000015_jJxIm.png,jJxIm,1,mild,1000057,created
000016_WAmfU,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\clean\000016_WAmfU.png,C:\Dev\Projects\Deep_Larning_Captcha\data\synthetic\distorted\level_1_mild\000016_WAmfU.png,WAmfU,1,mild,1000058,created
