filename,label,ladder_level,ladder_name,font
level_0_clean_centered_text\000000_OhbVr.png,OhbVr,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000001_poiVg.png,poiVg,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000002_RV5If.png,RV5If,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000003_LBcbf.png,LBcbf,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000004_noGMb.png,noGMb,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000005_JmTPS.png,JmTPS,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000006_IAoCL.png,IAoCL,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000007_rZ3aW.png,rZ3aW,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000008_ZkSBv.png,ZkSBv,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000009_rjn9W.png,rjn9W,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000010_vgfyg.png,vgfyg,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000011_w2wMq.png,w2wMq,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000012_ZcUDI.png,ZcUDI,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000013_h7yfJ.png,h7yfJ,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000014_s1ON4.png,s1ON4,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000015_3xKmT.png,3xKmT,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000016_ecQoX.png,ecQoX,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000017_sf2o3.png,sf2o3,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000018_gyrDO.png,gyrDO,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000019_1xkxw.png,1xkxw,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000020_nQrS7.png,nQrS7,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000021_RPeMO.png,RPeMO,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000022_kIUpk.png,kIUpk,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000023_Dyr7O.png,Dyr7O,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000024_SJoRu.png,SJoRu,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000025_1XXdo.png,1XXdo,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000026_0cZuz.png,0cZuz,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000027_ren68.png,ren68,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000028_K4Tun.png,K4Tun,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000029_PFz46.png,PFz46,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000030_PDjqi.png,PDjqi,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000031_pVJIq.png,pVJIq,0,clean_centered_text,arial.ttf
level_0_clean_centered_text\000032_VLB5L.png,VLB5L,0,clean_centered_text,arial.ttf
