image,true_label,predicted,ladder_level,ladder_name,font,word_correct,char_correct
level_0_clean_centered_text/000000_OhbVr.png,OhbVr,OhbVr,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000001_poiVg.png,poiVg,p6tVg,0,clean_centered_text,arial.ttf,0,3
level_0_clean_centered_text/000002_RV5If.png,RV5If,RV5If,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000003_LBcbf.png,LBcbf,LBcbf,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000004_noGMb.png,noGMb,n6GMb,0,clean_centered_text,arial.ttf,0,4
level_0_clean_centered_text/000005_JmTPS.png,JmTPS,JmTPs,0,clean_centered_text,arial.ttf,0,4
level_0_clean_centered_text/000006_IAoCL.png,IAoCL,lA6cL,0,clean_centered_text,arial.ttf,0,2
level_0_clean_centered_text/000007_rZ3aW.png,rZ3aW,rZ3aW,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000008_ZkSBv.png,ZkSBv,ZkSBv,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000009_rjn9W.png,rjn9W,rjn9W,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000010_vgfyg.png,vgfyg,vgfyg,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000011_w2wMq.png,w2wMq,w2wMq,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000012_ZcUDI.png,ZcUDI,zcUDl,0,clean_centered_text,arial.ttf,0,3
level_0_clean_centered_text/000013_h7yfJ.png,h7yfJ,h7yfu,0,clean_centered_text,arial.ttf,0,4
level_0_clean_centered_text/000014_s1ON4.png,s1ON4,s1ON4,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000015_3xKmT.png,3xKmT,3xKmT,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000016_ecQoX.png,ecQoX,ecQ9X,0,clean_centered_text,arial.ttf,0,4
level_0_clean_centered_text/000017_sf2o3.png,sf2o3,sf263,0,clean_centered_text,arial.ttf,0,4
level_0_clean_centered_text/000018_gyrDO.png,gyrDO,gyrDO,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000019_1xkxw.png,1xkxw,1xkxw,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000020_nQrS7.png,nQrS7,nOrS7,0,clean_centered_text,arial.ttf,0,4
level_0_clean_centered_text/000021_RPeMO.png,RPeMO,RPeMO,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000022_kIUpk.png,kIUpk,kIUpk,0,clean_centered_text,arial.ttf,1,5
level_0_clean_centered_text/000023_Dyr7O.png,Dyr7O,Dyr7O,0,clean_centered_text,arial.ttf,1,5
